name,country,latitude,longitude,near_hotspot,hotspot_info
ዳኑ,Ethiopia,9.030272,38.761569,False,
Boreda secondary school,Ethiopia,9.342363,41.295642,False,
ቦቢቾ ቃለ ህይወት መጽሐፍ ቅዱስ ኮሌጅ,Ethiopia,7.578357,37.841712,False,
ሆሳዕና ቴክንክና ሙያ ማሰልጠኛ ኮለረጅ,Ethiopia,7.581024,37.856913,False,
ሆሳዕና ማምህራን ማሰልጠኛ ኮሌጅ,Ethiopia,7.573132,37.856626,False,
የካትት 25/1967,Ethiopia,7.545292,37.850087,False,
ዋን ፕላኔት ኢንተርናሽናል,Ethiopia,9.016155,38.801386,False,
كلية الاداب,Palestine,31.548434,35.091994,True,Hebron (147 events)
روضة الحياة,Palestine,32.476667,35.081539,False,
بستان الالحان,Palestine,32.477774,35.087445,False,
Abdullahi Bade Secondary School,Ethiopia,9.094336,43.182881,False,
ቅዱስ ዬሴፍ ካቶሊ ት/ቤት,Ethiopia,8.284355,37.77733,False,
Addis Ababa science and technology university,Ethiopia,8.982094,38.74801,False,
ሰጦ ሰመሮ ሁለተኛ ደረጃ ት/ቤት,Ethiopia,7.685792,36.835056,False,
Pre School,Ethiopia,9.093255,43.174109,False,
Pre School,Ethiopia,9.093345,43.178217,False,
stadum,Ethiopia,7.100376,38.624473,False,
ብራይትሳይድ ኢንተርናሽናል አካዳሚ,Ethiopia,8.936067,38.65515,False,
גן צאלון,Palestine,32.10289,35.174069,True,Salfit (50 events)
גן חצב,Palestine,32.103363,35.173376,True,Salfit (50 events)
روضة طيور الجنة,Palestine,32.088362,35.363118,False,
كلية الانشطة,Palestine,31.549449,35.09202,True,Hebron (147 events)
Kindergarten,Palestine,32.045423,35.176169,True,Salfit (50 events)
Debre Birhan Secondary School,Ethiopia,9.675539,39.545338,False,
Yeresere School,Ethiopia,13.567942,39.076776,False,
ነጋሽ ሁለተኛ ደረጃ ትምህርት ቤት,Ethiopia,13.889695,39.603137,False,
ነጋሽ,Ethiopia,13.886216,39.600388,False,
Mekuat Primary School,Ethiopia,13.82721,39.628937,False,
مدرسة الأمل الخاصة,Palestine,32.090686,35.169707,True,Salfit (50 events)
fitto school,Ethiopia,11.129658,39.224278,False,
Secondary School,Ethiopia,14.171812,37.729057,False,
ድልችቦ ትምህርት ቤት,Ethiopia,11.596031,37.4017,False,
ዓዲ ኣሰር ቀዳማይ ብርኪ Adi aser Elementary school,Ethiopia,14.212461,37.565213,False,
adiss alem school,Ethiopia,11.122895,39.223286,False,
Sekota Medresa,Ethiopia,12.629606,39.033227,False,
Kolal school,Ethiopia,13.519715,39.326217,False,
IRC Youth Program Center,Ethiopia,14.171361,37.72429,False,
ሀራምቤ ዩኒቨርሲቲ,Ethiopia,8.548397,39.277735,False,
Mana barumsaa sadarkaa 2ffaa fi qophaa'inaa Laaloo Aayiraa,Ethiopia,9.090155,35.391761,False,
ጎንደር ዩኒቨርሲቲ ቴዎድሮስ ካምፓስ ቤተ-መፅሃፍት,Ethiopia,12.587765,37.441471,False,
ጎልዓ ቤት ትምህርቲ,Ethiopia,14.282601,39.481699,False,
Genfel Collage,Ethiopia,14.279121,39.467318,False,
Beati Akor Primary School,Ethiopia,13.799716,39.448467,False,
Kombolcha Agricultural College,Ethiopia,11.087214,39.726803,False,
Union Academy,Ethiopia,7.032492,38.47591,False,
مدرسة بنات بيت أولا الأساسية الأولى,Palestine,31.593538,35.03027,True,Hebron (147 events)
Jaber Bin Hayan School,Palestine,31.596099,35.028949,True,Hebron (147 events)
High School for Girls,Palestine,31.610242,35.037549,False,
Beit Ula High School for Girls,Palestine,31.598716,35.022013,False,
Qaruot Secondary School For Girls,Palestine,32.066153,35.303964,False,
مدرسة ابو بكر الصديق الابتدائية,Palestine,32.187667,34.966817,True,Qalqilya (66 events)
קשת יהונתן,Palestine,32.486815,35.502945,False,
አሶሳ ዪኒቨርሲቲ,Ethiopia,10.088954,34.558924,False,
Menelik Primary School,Ethiopia,9.036677,38.763174,False,
Kebena Adventist School,Ethiopia,9.038291,38.77688,False,
CPU College,Ethiopia,9.000676,38.802492,False,
