year,indicator_code,indicator_label,unit,source,angle,value
2011,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,12.7823771041865
2011,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,4.97148571692384
2011,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,7834.96257108993
2011,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,23.09931478239561
2011,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,22.58046318513114
2011,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,77.0157825713381
2011,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,73.5083271407964
2011,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,75.2322738386308
2011,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.23097
2011,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,84.8372167281463
2011,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,32112
2011,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,124427
2011,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,23.5123164251755
2011,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,22.7005528087428
2011,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,23.0993147823956
2011,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,61.0758201370298
2011,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,9.30599
2011,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,73.8286148513332
2011,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,42387
2011,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,5.73380994796753
2011,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,1.65251994132996
2011,SI.POV.DDAY,Poverty headcount ($2.15/day) (%),%,worldbank,economic,0.1
2011,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,17.134
2011,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,7.352
2011,SM.POP.NETM,Net migration (count),count,worldbank,displacement,2246
2012,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,12.6963857552318
2012,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,6.58147447683677
2012,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,8406.98405608118
2012,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,21.79585198755035
2012,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,27.81385483455382
2012,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,75.8944876564085
2012,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,73.8986592373324
2012,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,74.879013056623
2012,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.33889
2012,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,85.2793225598415
2012,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,31816
2012,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,116598
2012,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,22.2607352392838
2012,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,21.3468612312543
2012,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,21.7958519875503
2012,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,61.3987735604016
2012,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,72.2122774625477
2012,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.10915994644165
